CusID,CusName,Gender,PhoneNumber,Address
752,Yun Sovann,M,060 057 007,Battambang
144,Seng Bopha,F,087 077 089,Koh Kong
903,Tang Bopha,F,015 064 014,Preah Vihear
185,Heng Sokchea,F,018 070 030,Svay Rieng
675,Mao Visal,F,,Kampong Cham
442,Chhay Sokha,M,067 069 090,Preah Vihear
572,Ngoun Ravy,F,060 082 068,Oddar Meanchey
346,Mao Chenda,F,078 008 083,Kep
514,Vong Sovann,M,061 049 039,Oddar Meanchey
137,Sam Rina,M,086 051 075,Pursat
21,Theng Rathana,M,068 058 033,Preah Vihear
349,Yin Rithy,F,061 078 014,Kandal
581,Vong Sreyneang,F,086 012 016,Mondulkiri
449,Chhay Sopheap,F,015 013 061,Tboung Khmum
293,Kong Sopheap,F,089 080 025,Kampong Thom
347,Suon Chhun,F,083 096 085,Kampong Thom
565,Thach Sokha,F,087 073 046,Kampong Thom
43,Chhay Bopha,F,011 079 038,Svay Rieng
141,Tith Sokhom,M,077 018 039,Kampot
378,Toch Sreytouch,F,069 055 079,Stung Treng
412,Chhim Sreytouch,F,,Phnom Penh
917,Chan Monineath,M,081 060 062,Svay Rieng
353,Thach Sokun,M,096 006 053,Banteay Meanchey
992,Tith Sovan,M,060 025 075,Kampong Speu
136,You Veasna,M,031 041 029,Preah Vihear
950,Sam Sokchea,M,087 018 065,Koh Kong
356,Sam Ravy,M,015 017 089,Preah Vihear
793,Yin Sovanna,M,080 002 088,
893,Tang Thida,M,095 039 094,Siem Reap
214,Rath Nita,,067 026 057,Kampong Chhnang
975,Tol Sopheap,M,080 074 018,
968,Suon Visal,M,090 043 026,Ratanakiri
166,Kim Piseth,M,,Prey Veng
771,Mao Nita,F,077 080 030,Banteay Meanchey
437,Tith Rina,F,010 039 099,Kep
571,Keo Sreytouch,M,060 046 094,Oddar Meanchey
219,Yin Sok,F,098 097 004,Phnom Penh
363,Lim Sopheap,M,,Kampot
584,Suon Narin,M,083 026 079,Preah Sihanouk
695,Chea Rithy,M,087 023 004,Kandal
118,Yin Sokhom,F,099 074 063,Kampong Thom
225,Seng Chan,M,018 034 007,Tboung Khmum
897,Vong Chenda,M,078 016 027,
707,Sam Sovanna,F,096 001 042,Preah Vihear
840,Kong Visal,M,079 049 064,Kratie
272,Vann Sopheap,M,031 051 081,Pursat
625,Chuon Thida,F,096 100 026,Takeo
324,Thay Srey,M,069 072 067,Tboung Khmum
574,Chea Sokun,F,060 017 060,Phnom Penh
760,Seng Sreyneang,M,096 049 076,Stung Treng
413,Chhay Sovanna,F,060 084 071,Kampong Thom
608,Kim Dara,F,099 069 080,Takeo
483,Heng Visal,M,015 041 097,Battambang
523,Kong Vanna,M,085 019 080,Preah Vihear
67,Ung Chenda,F,078 041 080,Takeo
291,Thy Chhun,M,061 023 071,Ratanakiri
882,Thy Sok,M,,Kampong Chhnang
182,Theng Dara,M,097 048 040,Takeo
81,Keo Vanna,M,,Kampong Thom
474,Chhay Thida,M,067 061 006,
23,Toch Sreyneang,F,018 029 088,Svay Rieng
951,Keo Bopha,M,071 077 022,Tboung Khmum
203,Lim Vanna,M,015 026 051,Preah Vihear
221,Heng Sopheap,M,081 056 060,Banteay Meanchey
963,Heng Sreyneang,F,012 052 055,Siem Reap
701,Ouk Rina,M,099 077 082,Banteay Meanchey
795,Yin Srey,M,061 096 069,
839,Thay Sokha,M,076 016 049,
416,Tol Chenda,M,068 038 091,Kratie
227,Lim Ratanak,M,092 044 026,Preah Vihear
157,Chhay Chan,M,083 041 043,Kampong Cham
653,Lim Nita,F,011 015 012,Pursat
365,Tol Rina,M,083 008 026,Takeo
782,Ouk Sokha,F,096 089 046,Kampong Thom
300,Chhim Rithy,M,077 092 015,Kratie
668,Kim Sovann,M,061 065 084,Koh Kong
140,Yun Sovan,F,069 090 096,Kandal
546,Tang Rathana,F,013 099 073,
896,Vann Sovan,F,061 020 076,Battambang
685,Heng Sovann,F,090 092 092,Tboung Khmum
604,Yun Srey,M,088 023 060,Phnom Penh
119,You Sok,M,089 004 064,
124,Tith Sokha,F,083 021 090,Mondulkiri
554,Chhim Sokun,F,080 006 005,Oddar Meanchey
770,Tol Sokun,M,,Pailin
784,Seng Sokha,,079 009 026,Oddar Meanchey
331,Ung Piseth,F,010 025 050,Takeo
794,Vann Sreytouch,M,090 091 062,Banteay Meanchey
408,Kim Sokha,M,013 039 014,Preah Sihanouk
880,Chea Bopha,F,069 038 067,Siem Reap
453,Rath Sokha,F,085 073 005,Preah Vihear
231,You Piseth,F,016 087 024,Stung Treng
211,Sam Sokhom,F,060 068 038,Koh Kong
598,Ung Sovann,F,071 078 089,Kampong Cham
676,Heng Sreytouch,F,078 061 037,Kep
190,Thach Piseth,M,099 092 035,Kampong Thom
278,Keo Sopheap,M,086 019 029,
622,Keo Chan,M,060 006 047,Oddar Meanchey
659,Kong Sokchea,M,093 094 031,Kampong Cham
390,Chhay Nita,F,093 042 004,Phnom Penh
387,Yon Chenda,F,077 036 052,Siem Reap
481,Chan Dara,F,010 022 090,Kampong Speu
933,Vong Piseth,F,088 022 051,Siem Reap
754,Kong Sovan,M,077 020 083,Stung Treng
171,Chea Rathana,M,093 082 078,Pursat
375,Chhay Sovann,M,087 019 010,Kampot
946,Yin Sovann,M,086 044 029,Kampot
107,Ung Sok,,093 035 046,Banteay Meanchey
931,Chhim Sokha,M,080 078 042,
258,Lim Ravy,F,,Koh Kong
294,Sam Sovann,M,077 058 004,Kampong Thom
170,Toch Narin,F,017 091 005,Koh Kong
783,Chan Chenda,M,081 028 017,Kampong Chhnang
779,Lim Thida,F,016 053 021,Kampong Thom
852,Mao Sophea,F,017 017 071,Kratie
434,Chea Srey,M,,Preah Sihanouk
858,Tith Bopha,F,,Kampong Cham
468,Chan Rina,M,038 026 072,Kampong Cham
57,Ngoun Sreytouch,M,066 096 057,Mondulkiri
751,Pich Ratanak,F,088 039 090,Pailin
764,Ung Chhun,M,087 056 097,Banteay Meanchey
511,Kim Monineath,M,095 076 035,Stung Treng
87,You Visal,F,098 046 010,Siem Reap
248,Chhay Sophea,F,071 018 027,Preah Sihanouk
239,Vong Nita,M,087 011 035,Mondulkiri
318,Mao Vanna,M,081 013 082,Kampot
429,Chan Vanna,F,017 001 032,Kampot
635,Vann Ratanak,F,010 048 080,Ratanakiri
960,Theng Chan,M,090 010 054,Tboung Khmum
907,Tith Visal,F,086 096 030,Pailin
268,Chhim Sopheap,M,095 020 051,Mondulkiri
809,Yun Sopheap,M,076 038 026,Kampong Thom
825,Yon Piseth,F,067 091 073,Prey Veng
537,Ung Rina,M,010 015 062,Siem Reap
312,Thy Rithy,F,,Kampong Cham
44,Kong Sovanna,M,083 084 014,Tboung Khmum
705,Rath Sophea,F,010 074 077,Kampong Thom
443,Kim Srey,M,070 022 046,Pursat
131,Yin Sokun,F,015 065 031,Kampong Speu
947,Rath Dara,M,,Kampot
900,Chhay Sovan,F,085 066 085,Ratanakiri
133,Sam Vanna,M,070 026 026,Svay Rieng
168,Chan Chhun,M,088 079 015,Kampot
977,Tang Sophea,F,017 062 054,Kandal
772,Chan Sok,M,017 020 074,
237,Thay Piseth,F,,Kampong Chhnang
11,Thy Veasna,F,088 059 070,Battambang
249,Toch Monineath,M,066 015 087,
697,Kim Sovan,M,089 064 053,Kampong Thom
836,Chhay Chenda,F,071 041 061,Kandal
161,Toch Veasna,M,085 087 006,Ratanakiri
666,Vann Sovanna,F,,Kampong Thom
868,Suon Vanna,M,011 008 055,Stung Treng
192,You Monineath,F,069 091 085,Svay Rieng
980,Yin Dara,F,,Preah Sihanouk
27,Keo Sokun,F,010 046 087,Koh Kong
72,Thay Sokchea,M,061 025 058,
753,Chea Sok,M,089 028 052,Banteay Meanchey
91,Chhim Vanna,M,078 003 013,Kratie
392,Chea Rina,F,066 004 025,Ratanakiri
724,Ngoun Ratanak,M,089 055 051,Pursat
115,Chan Sovan,M,010 074 066,
155,Tol Veasna,F,084 095 088,Kampong Thom
280,Rath Sreytouch,F,080 083 048,Siem Reap
1000,Thach Chenda,F,083 081 081,Kandal
158,Rath Sokchea,F,086 098 056,Takeo
832,Yon Rithy,F,093 015 091,Kampong Chhnang
564,Keo Chhun,M,099 007 046,Pursat
321,Mao Srey,M,085 097 007,Kampong Chhnang
320,Thay Veasna,F,086 006 010,Mondulkiri
309,Seng Ratanak,F,076 020 005,Mondulkiri
177,Lim Sokun,,099 087 059,Ratanakiri
476,Thay Ratanak,F,096 065 034,Svay Rieng
73,Yon Nita,F,012 073 022,Battambang
79,Kong Rina,F,080 053 071,Kep
288,Thach Ratanak,F,097 006 031,Kratie
589,Seng Sovann,M,079 071 026,
40,Chea Sokchea,M,085 100 092,Banteay Meanchey
603,Chhay Rithy,M,086 076 096,Kandal
538,Vong Sokha,F,067 017 015,Banteay Meanchey
609,Kim Sovanna,F,085 023 003,Kep
557,Tith Srey,F,093 066 094,Ratanakiri
232,Yin Chenda,F,092 023 097,Pursat
26,Yon Narin,M,069 054 078,Tboung Khmum
556,Chan Sokhom,F,096 064 055,Tboung Khmum
431,Chhim Veasna,F,,Kampong Cham
969,Tith Rithy,F,083 097 019,Siem Reap
667,Ngoun Piseth,M,096 014 079,Kampong Chhnang
529,Mao Sovan,F,089 005 044,Prey Veng
592,Toch Dara,F,071 027 011,Preah Vihear
402,Thay Narin,F,085 064 053,Kep
810,Ung Sreytouch,F,098 046 045,Ratanakiri
500,Chuon Sokun,F,085 092 090,Svay Rieng
361,Chhim Sokchea,F,018 086 060,Koh Kong
686,Heng Veasna,M,080 082 036,Pailin
281,Chuon Chhun,,,Koh Kong
238,Yon Chhun,F,018 090 008,Mondulkiri
775,Thy Monineath,F,066 066 063,Prey Veng
627,Tol Monineath,F,069 100 088,
878,Vong Rithy,F,018 037 080,Kampot
425,Keo Dara,F,092 031 028,
78,Yun Sokha,M,038 067 002,
48,Kong Sokha,F,018 021 037,Phnom Penh
729,Lim Chenda,M,095 006 091,Kep
864,Thy Sokun,M,080 097 073,Battambang
28,Toch Ravy,M,083 009 058,Battambang
247,Lim Sovanna,M,071 060 020,Oddar Meanchey
787,Chea Sokhom,M,097 071 011,Kampong Chhnang
916,You Sovan,M,076 006 052,Pursat
180,Seng Sokchea,F,098 073 084,Pursat
64,Yon Rina,F,031 098 070,Kampong Chhnang
778,Tang Srey,M,071 063 084,Kampot
120,You Chhun,M,087 040 035,Mondulkiri
181,Yin Veasna,F,,Banteay Meanchey
475,Lim Sovann,M,068 081 048,Preah Sihanouk
358,Yon Veasna,F,081 010 019,Tboung Khmum
52,Pich Dara,F,095 008 040,Phnom Penh
319,You Sovann,F,093 068 045,Kandal
612,Thach Sovanna,M,088 016 089,Battambang
25,Thach Dara,M,071 006 006,Kep
844,Chea Visal,M,077 076 088,Kandal
632,Rath Thida,M,038 015 017,Ratanakiri
607,Pich Piseth,F,090 086 035,Pursat
941,Vann Rina,F,095 082 077,Battambang
582,Thy Thida,F,079 100 070,Takeo
382,Thy Rathana,M,011 078 037,Preah Sihanouk
206,Heng Chenda,F,090 025 099,Tboung Khmum
14,Ouk Sovan,F,095 048 086,
652,Chea Sovann,M,070 007 088,Pailin
997,Pich Sok,F,085 056 067,Stung Treng
513,Rath Sok,F,067 041 059,
12,Kong Rathana,F,010 055 050,
539,Lim Srey,F,,Kampong Speu
470,Thay Chhun,F,079 098 010,Kep
990,Vann Veasna,M,081 097 038,Stung Treng
620,Vann Narin,F,080 040 085,Kampong Speu
531,Pich Bopha,F,018 081 068,Ratanakiri
30,Suon Sokun,F,016 070 091,Preah Sihanouk
989,Ung Vanna,F,099 006 087,Takeo
855,Heng Sovan,F,079 018 083,Kampot
944,Yin Chhun,F,079 085 079,Kandal
563,Tang Piseth,M,083 092 097,Prey Veng
386,Suon Srey,F,092 004 022,Battambang
750,Thach Thida,F,010 018 060,Kep
605,Chan Rithy,F,089 070 020,
420,Vong Sophea,M,085 010 001,Kampong Speu
953,Yon Rathana,M,070 065 080,Kep
178,Kong Narin,M,012 064 071,
218,Suon Sophea,M,087 059 098,Stung Treng
672,Ouk Dara,M,096 021 054,Ratanakiri
41,Ngoun Thida,F,088 099 049,Ratanakiri
393,Ngoun Rathana,F,080 075 076,
789,Theng Sovann,M,084 060 012,Preah Sihanouk
792,Yon Visal,F,084 090 026,Banteay Meanchey
95,Chan Srey,M,069 074 095,Stung Treng
345,Tang Sreyneang,M,097 045 019,
746,Pich Sopheap,M,067 098 016,Preah Vihear
798,Ung Sokun,M,010 073 083,Tboung Khmum
949,Kim Rathana,F,096 041 033,Tboung Khmum
962,Yon Sophea,F,090 005 052,Stung Treng
466,Vann Piseth,M,087 085 042,
458,Vong Bopha,F,,Takeo
114,Tol Bopha,F,090 071 098,Koh Kong
726,Yun Nita,M,010 036 051,Siem Reap
983,Sam Sopheap,M,,Pailin
940,Thay Sokhom,M,011 071 068,
260,Ngoun Sovan,,083 092 033,Oddar Meanchey
167,Pich Sokchea,M,096 096 052,Kandal
202,Chhim Sovanna,M,071 070 050,Svay Rieng
829,Keo Sokhom,F,010 061 083,Battambang
36,Theng Sophea,F,038 073 039,Kampong Speu
759,Heng Piseth,F,086 018 095,Oddar Meanchey
152,Pich Sovan,M,084 041 054,
923,Chan Narin,F,016 072 001,Kampong Speu
577,Chuon Rithy,M,067 021 060,Pailin
69,Chea Chan,F,038 013 097,Kep
920,Mao Sreyneang,M,068 035 100,Kampong Speu
925,Tith Sreyneang,M,013 091 009,Mondulkiri
566,Ung Sreyneang,M,012 069 003,Preah Sihanouk
464,Seng Veasna,F,031 046 040,Mondulkiri
428,Chea Sovan,M,085 034 096,Kratie
816,Theng Sopheap,F,096 040 094,Preah Sihanouk
172,Keo Sovanna,F,095 084 022,
906,Pich Thida,F,085 055 002,Preah Vihear
696,Pich Veasna,M,089 097 025,Siem Reap
837,Lim Rithy,M,085 091 024,Kampong Cham
722,Ngoun Sokhom,M,097 076 055,Kandal
307,Sam Monineath,F,083 055 028,Pursat
655,Toch Sokha,M,068 022 060,Phnom Penh
639,Yon Sokun,M,081 017 070,Kampong Cham
104,Pich Vanna,F,066 088 090,Banteay Meanchey
874,Thy Sovanna,F,090 077 068,Oddar Meanchey
541,Ung Sokha,M,089 018 030,Takeo
426,Suon Chenda,F,092 012 071,Stung Treng
743,Seng Sovan,M,069 014 020,Ratanakiri
516,Tol Sovanna,M,011 099 040,Stung Treng
54,Yun Chan,M,089 022 100,Kandal
498,Sam Sokun,M,096 031 099,Preah Sihanouk
447,Chhay Dara,F,095 046 044,Siem Reap
859,Ung Thida,M,068 015 092,Kampot
287,Vann Sokha,M,,Stung Treng
216,Theng Sovanna,M,097 057 059,Battambang
521,Theng Sokchea,F,,Kampot
455,Chhim Visal,M,076 100 014,Kep
710,Chuon Sok,F,085 044 042,Oddar Meanchey
126,Toch Bopha,F,090 054 079,Tboung Khmum
895,Toch Piseth,F,,Kampong Cham
613,Chuon Sovan,F,080 053 070,Kampong Speu
646,Thach Nita,F,016 025 055,Kandal
841,Theng Sok,,068 036 009,Svay Rieng
943,Vann Nita,F,067 065 038,
922,Chuon Rina,M,088 092 065,Takeo
364,Mao Piseth,F,061 091 006,
902,Chhay Veasna,M,,Koh Kong
98,Kong Chhun,M,095 062 053,Kampong Speu
257,Thay Monineath,M,097 079 048,Battambang
536,Mao Bopha,F,069 051 077,Kandal
327,Yin Bopha,F,090 060 078,Tboung Khmum
29,Yun Sreyneang,F,081 074 091,Kampong Speu
105,Heng Rithy,M,018 078 094,Preah Sihanouk
624,Toch Rithy,F,089 030 088,Ratanakiri
407,Theng Rithy,F,,Kampong Chhnang
725,Chuon Vanna,F,,Svay Rieng
326,Yon Sreytouch,M,092 026 060,Kampot
967,Chea Ratanak,F,089 081 053,Tboung Khmum
681,Thay Dara,M,087 054 037,Kampong Cham
857,Theng Monineath,M,085 013 005,Stung Treng
578,Tith Sok,F,083 043 082,Banteay Meanchey
822,Thay Sok,M,,Ratanakiri
45,Pich Sophea,M,016 027 080,Stung Treng
266,Ouk Nita,M,060 027 004,Koh Kong
286,Chhim Sophea,M,031 063 019,Takeo
209,Keo Ravy,M,070 074 078,Stung Treng
165,Seng Sovanna,F,089 072 019,Pursat
981,Vann Rathana,F,031 017 047,Kampong Chhnang
719,Tang Sokha,M,011 077 054,Koh Kong
689,Tang Nita,M,,Kandal
20,Chhim Thida,F,097 054 014,Takeo
877,Kong Sreyneang,F,,Prey Veng
337,Yon Vanna,F,098 042 044,
88,Keo Rina,F,096 080 011,Kampot
905,Yon Sokha,M,079 079 056,Kampot
292,Toch Chan,M,090 009 038,Kandal
478,Chhim Sok,F,067 090 010,Oddar Meanchey
677,Mao Monineath,M,071 085 052,Mondulkiri
938,Rath Chan,M,,Preah Sihanouk
396,Seng Srey,F,090 042 035,Prey Veng
360,Kim Narin,F,097 006 001,Tboung Khmum
866,Thach Bopha,M,017 099 049,Preah Vihear
374,Chuon Sophea,M,031 043 034,Kampong Cham
856,Sam Rathana,M,096 069 006,Stung Treng
934,Vong Srey,M,093 094 024,Preah Sihanouk
528,Vann Thida,M,,Koh Kong
173,Kim Sokhom,F,097 080 076,Kampong Thom
489,Keo Sok,F,096 028 065,Kampot
422,Kim Ratanak,M,088 049 092,Kampot
660,Keo Narin,M,092 080 085,Kep
534,Yun Monineath,F,095 033 075,Phnom Penh
328,Ung Monineath,F,090 100 089,Battambang
736,Ouk Sokchea,M,031 069 009,Stung Treng
277,Vann Bopha,F,038 071 047,Kep
647,Yon Ratanak,F,079 100 032,Ratanakiri
964,Kong Bopha,F,,
338,Ngoun Nita,M,069 088 071,Siem Reap
484,Lim Narin,,017 097 069,Preah Vihear
580,Chan Thida,F,,Kandal
600,Thay Sreyneang,M,031 019 083,Koh Kong
113,Suon Sokchea,M,,Pailin
703,Ouk Sovann,F,066 027 042,Preah Vihear
993,Yin Thida,M,010 012 001,Kampot
939,Mao Sopheap,M,,Battambang
503,You Bopha,M,087 062 027,Kandal
13,Chuon Sovann,,092 017 002,Kampong Thom
935,Thy Piseth,M,071 059 047,Oddar Meanchey
305,Ung Nita,F,079 010 078,Phnom Penh
315,Pich Sreytouch,M,066 015 048,Kampong Cham
224,Mao Ravy,F,085 067 048,Oddar Meanchey
631,Toch Vanna,F,068 019 051,Kandal
520,Chuon Rathana,F,018 038 062,Kandal
669,Lim Visal,F,089 044 029,Phnom Penh
350,Ngoun Chenda,M,078 066 071,Koh Kong
921,Thy Chenda,F,087 066 002,Kampong Chhnang
430,Kim Sokun,M,097 090 065,Svay Rieng
399,Tith Thida,M,066 089 021,Battambang
385,Chuon Sreyneang,M,038 046 038,Preah Vihear
800,Sam Visal,M,092 015 068,Battambang
380,Thach Srey,F,031 011 062,Kandal
63,Lim Rathana,F,011 094 071,Tboung Khmum
198,Chan Sokun,F,070 011 037,Kampot
540,Thay Rina,M,012 051 033,Preah Vihear
767,Chuon Narin,F,061 055 006,Prey Veng
450,Keo Chenda,F,069 092 077,Prey Veng
366,Theng Rina,M,070 036 074,Mondulkiri
708,Ung Sokchea,M,098 077 091,Preah Vihear
329,Yun Sokun,F,085 094 007,Phnom Penh
824,Pich Rina,F,013 016 011,
876,Chhim Ratanak,M,,Preah Vihear
302,Mao Rathana,M,067 047 022,Kampong Cham
638,Thach Sokchea,M,077 038 014,Kep
486,Chhim Sreyneang,F,089 048 085,Kratie
812,Tang Sopheap,F,061 055 010,Kandal
549,Thach Narin,F,095 013 097,Kep
316,Toch Nita,M,060 062 031,Kratie
344,Theng Sokun,F,060 018 009,Banteay Meanchey
439,Tol Nita,F,,Mondulkiri
5,Pich Ravy,,015 032 036,Kandal
821,Sam Piseth,F,,Tboung Khmum
46,Sam Bopha,M,010 088 069,Kratie
254,Heng Sokun,M,068 010 009,
123,Sam Sreyneang,F,098 073 014,Svay Rieng
911,Chea Sokha,F,090 031 040,Tboung Khmum
966,Vong Sokchea,F,086 029 072,Battambang
265,Seng Chenda,M,010 078 009,Banteay Meanchey
332,Tol Visal,F,089 033 033,
417,Tol Sreyneang,F,061 092 080,Siem Reap
831,Kong Sokhom,M,079 064 001,Prey Veng
303,Suon Sovanna,M,086 074 043,Pursat
75,Chhay Sokun,F,083 066 019,Oddar Meanchey
803,Vong Ratanak,M,,
456,Heng Narin,M,018 084 062,Koh Kong
8,Vong Sokun,F,080 074 029,Kep
339,Heng Rina,F,038 091 037,Kratie
547,Chuon Sokha,F,097 038 093,Phnom Penh
469,You Sreyneang,M,069 069 079,Siem Reap
362,Vong Sreytouch,F,081 076 039,Oddar Meanchey
410,Pich Sovanna,F,070 048 099,Preah Vihear
644,Tang Sovanna,F,092 092 050,Oddar Meanchey
542,Tol Rithy,F,076 083 096,Siem Reap
680,Tol Vanna,F,071 030 076,Ratanakiri
815,Ouk Bopha,F,087 008 032,
591,Chan Sopheap,F,031 092 093,Pursat
368,Keo Monineath,M,060 017 084,
881,Yun Ravy,F,089 033 093,Oddar Meanchey
863,Yun Dara,M,017 085 079,Siem Reap
194,Thach Sovan,F,011 041 059,Kampong Thom
616,Sam Rithy,F,077 051 062,Phnom Penh
376,Toch Sophea,M,067 020 056,Takeo
576,Ouk Piseth,,010 067 008,Kampong Cham
776,You Chenda,M,083 017 030,
985,Theng Chhun,F,081 091 048,Kampong Cham
884,Suon Monineath,M,081 027 073,
436,Tith Piseth,F,,Siem Reap
830,Ngoun Narin,F,068 021 052,Siem Reap
593,Ngoun Sreyneang,F,031 013 033,Kampong Speu
510,Sam Veasna,F,071 070 037,Prey Veng
986,Chan Sreytouch,M,087 034 048,Preah Sihanouk
398,Vann Rithy,M,070 005 083,Takeo
842,Toch Sovan,M,013 065 085,Kampot
942,Tith Ratanak,F,077 036 091,Oddar Meanchey
972,Theng Veasna,F,096 093 036,Tboung Khmum
37,Yin Sreyneang,F,012 098 096,Kampot
860,Heng Sok,F,084 032 024,Siem Reap
790,Yon Sovann,F,012 050 076,Tboung Khmum
994,Chhim Ravy,F,,Battambang
954,You Srey,M,,Kampong Chhnang
22,Chan Sovann,M,092 026 055,Kratie
716,Theng Srey,F,010 048 013,Banteay Meanchey
215,Toch Sovann,M,099 064 012,Kampong Thom
741,Suon Sreytouch,F,,Pursat
761,Ung Dara,F,067 027 033,Battambang
256,Kim Sreyneang,F,018 008 076,Kep
636,Seng Rina,,,Prey Veng
702,Chea Narin,M,038 022 015,
915,Thy Sovan,F,015 045 061,Kandal
559,Rath Rina,M,,Kampot
909,Suon Sokhom,F,060 100 072,
698,Vann Monineath,F,038 007 086,
183,Yun Rina,F,010 053 061,
588,Pich Sokun,F,018 024 047,Kampong Thom
377,Chea Nita,F,017 079 028,Preah Vihear
567,Ung Veasna,F,,Kampong Thom
421,Tith Sreytouch,M,087 089 054,Siem Reap
664,Ngoun Sophea,F,,Kampot
263,Thay Chenda,F,,Kampong Cham
403,Rath Rithy,M,092 015 017,Pursat
658,Tol Chhun,F,066 091 069,Tboung Khmum
757,Tol Dara,M,095 056 083,Kampot
901,Toch Ratanak,M,080 076 033,Ratanakiri
284,Chuon Ratanak,M,018 035 083,Kandal
978,Suon Rithy,,079 090 096,Takeo
570,Rath Narin,F,077 067 096,Banteay Meanchey
359,Heng Chhun,F,015 059 097,Phnom Penh
461,You Chan,F,092 085 082,Phnom Penh
70,Heng Sovanna,F,067 036 055,Kampong Cham
643,Vann Sovann,M,,Pursat
186,Tith Chenda,,017 053 086,Svay Rieng
561,Seng Nita,F,011 066 089,Phnom Penh
818,Chhim Srey,F,,Phnom Penh
50,Vann Visal,F,018 032 018,Tboung Khmum
89,Vann Chhun,F,083 089 086,Preah Sihanouk
692,Yun Sokhom,M,010 030 079,Oddar Meanchey
742,Kong Nita,M,011 050 055,Mondulkiri
306,Pich Sokhom,M,,Kampong Chhnang
369,Yin Piseth,M,084 069 004,Preah Sihanouk
502,Sam Chenda,M,,Mondulkiri
108,Yun Sreytouch,M,068 100 072,Preah Vihear
804,Keo Veasna,M,016 075 021,Battambang
872,Chhim Bopha,,081 023 041,
342,Chan Sreyneang,M,088 037 013,Mondulkiri
594,Heng Nita,F,071 073 055,
